day,flights,passengers,max capacity
20230102,352,94434,99351
20230103,356,92710,99616
20230104,358,88888,99437
20230105,365,88276,99174
20230106,367,89086,100611
20230107,355,85486,97928
20230108,381,93855,103760
20230109,383,86206,104759
20230110,382,78771,103831
20230111,346,76483,95124
20230112,377,89381,101767
20230113,378,90609,102644
20230114,366,83099,99585
20230115,386,91820,105279
20230116,375,88694,102596
20230117,380,81292,103739
20230118,380,79001,102618
20230119,370,83558,101797
20230120,381,86145,104273
20230121,364,78495,99470
20230122,381,89279,104314
20230123,382,80533,104677
20230124,387,72118,105198
20230125,374,76449,102712
20230126,389,88033,106287
20230127,393,92523,107135
20230128,369,79265,101412
20230129,388,90661,106114
20230130,387,79953,105417
20230131,379,74687,102622
20230201,386,78256,103590
20230202,388,85308,105953
20230203,365,84418,101433
20230204,365,80380,100330
20230205,387,90537,105608
20230206,390,82530,106806
20230207,390,78129,106451
20230208,391,82142,107234
20230209,395,90493,108851
20230210,402,91286,109015
20230211,379,86260,104312
20230212,401,92278,109183
20230213,402,83614,109130
20230214,395,77442,107134
20230215,402,90152,109082
20230216,393,93519,106609
20230217,397,97790,108358
20230218,380,93785,104700
20230219,402,97166,109680
20230220,400,97792,108114
20230221,396,90236,107364
20230222,379,87997,103616
20230223,398,95683,108586
20230224,402,99002,108833
20230225,381,91096,104306
20230226,404,98722,109552
20230227,372,87357,103309
20230228,376,82388,104322
20230301,399,91216,108531
20230302,402,96648,108997
20230303,396,93543,107951
20230304,387,92504,106421
20230305,410,99845,112760
20230306,414,96581,113128
20230307,410,92585,112291
20230308,410,96102,112150
20230309,413,100314,112732
20230310,406,99994,111220
20230311,389,95107,107282
20230312,411,103434,111927
20230313,404,95361,111446
20230314,349,82124,100695
20230315,412,97487,112691
20230316,413,100682,113074
20230317,413,100070,113179
20230318,390,96859,107906
20230319,412,103148,113189
20230320,415,96997,113079
20230321,410,89925,111918
20230322,414,93485,112814
20230323,411,98965,112912
20230324,414,100594,113340
20230325,387,92532,107055
